Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2,Price
11809,27,3,115,32,10,4,10.0,2014,0.07542368,True,True,11,3097,2,30.0,1,3,True,305018.8710894109
3013,22,1,39,23,8,7,8.0,1966,0.118537385,True,True,30,6207,1,1183.0,1,3,True,177734.5534071411
8215,1,3,78,47,10,2,17.0,1988,0.025609157,True,True,33,5261,2,240.0,3,1,True,282078.7208500433
2352,1,1,40,32,6,10,22.0,1977,0.007122317,True,True,1,264,2,30.0,1,1,True,168106.00763001086
13866,94,2,64,38,9,16,16.0,1972,0.282797669,True,True,33,8667,2,30.0,1,6,True,343995.10296205425
5804,99,3,62,47,6,9,9.0,1972,0.012338886,True,True,35,5776,1,2078.0,2,4,True,161044.94413780785
8864,44,1,33,21,9,1,12.0,1968,0.232205084,True,True,24,4860,1,80.0,1,3,True,142402.73927153
13072,59,2,50,32,8,8,17.0,1986,0.019508796,True,True,37,7687,11,176.0,5,5,True,326174.1751906913
9951,1,1,46,44,6,12,20.0,1977,0.007122317,True,True,1,264,2,30.0,1,1,True,160400.40173203114
8094,6,3,79,75,6,3,17.0,2014,0.243204519,True,True,5,1564,2,540.0,1,3,True,194756.02394527625
535,2,3,74,44,10,5,14.0,2008,0.035145267,True,True,42,9292,3,2620.0,1,3,True,512797.3734005682
16755,88,2,53,34,8,2,12.0,1978,0.127375905,True,True,43,8429,3,30.0,3,9,True,253124.0053320823
898,93,1,47,23,13,9,24.0,2012,0.050900058,True,True,43,10621,1,30.0,2,3,True,199556.86590520246
3526,90,2,43,26,6,5,9.0,1969,0.265088676,True,True,37,5288,2,1937.0,3,2,True,213001.5152692308
191,36,3,81,43,10,2,22.0,2008,0.08761909,True,True,8,1497,5,30.0,1,3,True,481360.3607276174
4328,96,1,36,16,9,3,12.0,2003,0.041116354,True,True,53,14892,4,30.0,1,4,True,168143.3456997873
11942,48,1,44,24,8,7,12.0,1981,0.041124634,True,True,46,9515,5,30.0,1,10,True,207633.6602870756
1190,8,2,49,28,6,6,5.0,1962,0.458174486,True,True,26,4439,1,1130.0,1,5,True,186971.9265661055
4581,1,1,47,32,6,16,16.0,1977,0.007122317,True,True,1,264,2,30.0,1,1,True,128803.59381001431
367,45,1,42,40,6,16,14.0,2015,0.195781053,True,True,23,5212,6,30.0,3,2,True,250466.98077681608
8768,63,1,50,32,6,7,16.0,2018,0.23861713,True,True,26,3889,6,705.0,3,6,True,260328.41337559265
8471,20,3,75,47,8,11,9.0,1976,0.019508796,True,True,37,7687,11,176.0,5,5,True,366916.2464940092
1550,7,3,86,46,10,3,17.0,1986,0.07542368,True,True,23,5067,4,30.0,2,6,True,421803.7487527664
13427,103,1,38,23,9,6,12.0,1969,0.014423114,True,True,19,3806,4,30.0,1,3,True,194273.04455506642
4717,27,1,44,32,6,2,13.0,1977,0.072157581,True,True,2,629,1,30.0,1,3,True,135466.55995845908
4521,6,2,65,32,6,18,1.0,1977,0.243204519,True,True,5,1564,2,540.0,1,3,True,191205.27260844488
8553,88,3,83,32,6,13,1.0,1977,0.127375905,True,True,43,8429,3,30.0,3,9,True,410883.89201982936
1403,67,2,52,33,8,13,14.0,1985,0.0077202819999999985,True,True,38,4788,2,30.0,1,4,True,235998.2077440021
1924,24,1,34,19,6,5,5.0,1960,0.111627393,True,True,50,12238,8,1970.0,2,3,True,173155.77077902228
5273,23,2,53,32,9,3,3.0,2019,0.005767451,True,True,1,388,2,30.0,1,3,True,94061.94357934453
5931,23,1,43,32,6,3,4.0,1977,0.014072961,True,True,2,475,2,30.0,1,3,True,72659.97157533352
13084,38,1,47,22,6,21,24.0,2014,0.060753049,True,True,15,2787,2,520.0,1,7,True,233717.2987088421
3876,100,4,104,79,8,4,8.0,1960,0.200146802,True,True,23,3975,8,770.0,2,3,True,600903.8285622502
